
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","acte70207w","adaptador de corriente teros te-70207w, gan, pd 65w, blanco[@@@]ean: 0782752505957",>20,15.08, ,"","D","teros"
"accesorios usb","acte70208w","cable usb teros te-70208w, tipo c - tipo c, 5a, 100w max, blanco[@@@]ean: 07827525059",>20,3.02, ,"","D","teros"
"accesorios usb","acte70209w","cable usb teros te-70209w, tipo c - tipo c, 3a, 60w max, blanco[@@@]ean: 078275250592",>20,2.51, ,"","D","teros"
"accesorios usb","acte70210w","cable usb teros te-70210w, tipo a - tipo c/lightning/micro usb, 3.5a, 17.5w max, gris",>20,3.52, ,"","D","teros"
"accesorios usb","acte70211w","cable usb teros te-70211w, tipo a - tipo c, 3a, 60w max, gris[@@@]ean: 0782752505940",>20,2.31, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES ATX VER2.0","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases atx ver2.0","csatxte1074n","case teros te1074n, mid tower, atx, 250w, usb 3.0/ 2.0, audio, negro.[@@@]1 conector ",8,23.92, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES CON FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases con fuente p/gamers","csa45bkte1313g","case teros te-1313g, mid tower, atx, 450w, negro,usb 3.0 / 2.0, audio.[@@@]puertos us",>20,31.16, ,"","D","teros"
"cases con fuente p/gamers","csatxte1164w","case gamer teros te-1164w, mid tower, atx, 600w bronce, blanco, usb 3.0 / 2.0, audio.",19,68.34, ,"","D","teros"
"cases con fuente p/gamers","csatxte1165w","case gamer teros te-1165w, mid tower, atx, 600w bronce, blanco , usb 3.0 / 2.0, audio",3,75.38, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES MICRO ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases micro atx","csm25bkte1028s","case teros te-1028s, mini tower, 250w, usb 2.0/ usb 3.0, audio hd[@@@]1 conector 24/2",>20,18.09, ,"","D","teros"
"cases micro atx","csm25bkte1029s","case teros te-1029s, mini tower, 250w, usb 2.0/ usb 3.0, audio hd[@@@]1 conector 24/2",>20,18.09, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases sin fuente p/gamers","csasgt301argbb","cs atx asus gt301 argb black",1,100.00, ,"","F","asus"
"cases sin fuente p/gamers","csatxte1160n","case gamer teros te1160n, mid tower, negro, usb 3.0, usb 2.0, audio.[@@@]panel latera",8,45.23, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1162n","case gamer teros te1162n, mid tower, negro, usb 3.0, usb 2.0, audio.[@@@]panel latera",5,40.20, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1165n01","case gamer teros te-1165n, mid tower, negro, usb 3.0 / 2.0, audio.[@@@]panel lateral ",4,55.28, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1165w02","case gamer teros te-1165w, mid tower, blanco , usb 3.0 / 2.0, audio[@@@]panel lateral",1,51.26, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1172n","case gamer teros te1172n, mid tower, negro, usb 3.0, usb 2.0, audio.[@@@]panel latera",17,52.26, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1173n","case gamer teros te-1173n, mid tower, atx, usb 3.0 / 2.0, audio.[@@@]panel lateral y ",7,35.68, ,"","D","teros"
"cases sin fuente p/gamers","csatxte1174n","case gamer teros te1174n, mid tower, negro, usb 3.0, usb 2.0, audio.[@@@]panel latera",2,37.69, ,"","D","teros"
"cases sin fuente p/gamers","csmsgungnr110rw","case msi mpg gungnir 110r white, mid-tower, atx, blanco[@@@]puertos: 2 x usb 3.2 gen ",2,111.45, ,"","P","msi"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, accesorios","accte7051n","argb  splitter te-7051n",>20,1.51, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FAN","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fan","accoll120rgb","fan corsair ll120 rgb , 12 cm, 1500 rpm, 12 vdc, 4 pines, pwm control.[@@@]airflow: 4",1,19.10, ,"","D","corsair"
"cases, fan","accor9050078","fan corsair dual ml140 pro rgb led 14 cm, 400 - 1200 rpm, 10.8v - 13.2v, pwm control.",4,50.25, ,"","D","corsair"
"cases, fan","accor9050097","fan corsair ql120 rgb, 12 cm, 525 - 1500 ±10% rpm, 6v - 13.2v, pwm control.[@@@]airfl",7,23.12, ,"","D","corsair"
"cases, fan","accor9050099","fan corsair ql140 rgb, 14 cm, 550 - 1250 ±10% rpm, 6v - 13.2v, pwm control.[@@@]airfl",2,25.13, ,"","D","corsair"
"cases, fan","accor9050100","fan corsair dual ql140 rgb, 14cm, 550 - 1250 ±10%rpm, 6v - 13.2v, pwm control.[@@@]fa",5,62.31, ,"","D","corsair"
"cases, fan","accorml140prorg","fan corsair ml140 pro rgb led, 14 cm, 1200 rpm, 13.2 vdc, 4 pines, pwm control.[@@@]a",1,20.10, ,"","D","corsair"
"cases, fan","accorrgb120pro","fan corsair ml120 pro rgb led, 12 cm, 1600 rpm, 13.2 vdc, 4 pines, pwm control.[@@@]p",2,62.31, ,"","D","corsair"
"cases, fan","accorrgb124","fan corsair ll140 rgb, 14 cm, 1300 rpm, 13.2 vdc,4 pines, pwm control.[@@@]pack de 2 ",3,53.27, ,"","D","corsair"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para","pste7025n","fuente de alimentación teros te7025n, formato atx, 250w, 115v / 230v.[@@@]",>20,9.65, ,"","D","teros"
