Fecha: 9/11/2023, 00:25:28, Archivo: persons/findAllDT   , Error: RequestError: Invalid usage of the option NEXT in the FETCH statement.  
Fecha: 10/11/2023, 14:59:30, Archivo: dbo.Person/update   , Error: RequestError: Must declare the scalar variable "@Title".  
Fecha: 10/11/2023, 15:01:08, Archivo: dbo.Person/update   , Error: RequestError: Invalid column name 'SitioWeb'.  
Fecha: 10/11/2023, 15:25:22, Archivo: dbo.Person/update   , Error: ReferenceError: getType is not defined  
Fecha: 10/11/2023, 15:30:42, Archivo: dbo.Person/update   , Error: RequestError: Invalid column name 'SnapchatStatus'.  
Fecha: 14/11/2023, 21:15:30, Archivo: persons/findAllDT   , Error: Error: aborted  
Fecha: 15/11/2023, 22:51:47, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 15/11/2023, 22:52:30, Archivo: persons/findAllDT   , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 15/11/2023, 22:55:07, Archivo: persons/findAllDT   , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 09:52:06, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 09:52:23, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 10:57:26, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 10:57:43, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 10:58:31, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 10:59:10, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 11:19:40, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:15:23, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:15:40, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:16:21, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:17:03, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:17:57, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 17/11/2023, 17:17:57, Archivo: user.js/login       , Error: ConnectionError: Failed to connect to 3.131.217.111:1433 in 15000ms  
Fecha: 22/11/2023, 01:30:14, Archivo: user.js/login       , Error: RequestError: Incorrect syntax near ','.  
Fecha: 22/11/2023, 01:30:17, Archivo: user.js/login       , Error: RequestError: Incorrect syntax near ','.  
Fecha: 23/11/2023, 02:54:44, Archivo: dbo.Settings/create , Error: TypeError: Cannot read properties of undefined (reading '0')  
